,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
31383,200005,11,1545,200005,11,1545,1094971,5144521,MICHIGAN,2000,Hail,C,161,WASHTENAW,DTX,11-MAY-00 15:45:00,EST,11-MAY-00 15:45:00,0,0,0,0,TRAINED SPOTTER,2000,5
31390,200005,11,1630,200005,11,1630,1094971,5144522,MICHIGAN,2000,Hail,C,161,WASHTENAW,DTX,11-MAY-00 16:30:00,EST,11-MAY-00 16:30:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31410,200005,12,2112,200005,12,2112,1094972,5144852,MICHIGAN,2000,Thunderstorm Wind,C,125,OAKLAND,DTX,12-MAY-00 21:12:00,EST,12-MAY-00 21:12:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31418,200005,18,1310,200005,18,1310,1094973,5144864,MICHIGAN,2000,Hail,C,125,OAKLAND,DTX,18-MAY-00 13:10:00,EST,18-MAY-00 13:10:00,0,0,0,0,BROADCAST MEDIA,2000,5
31419,200005,18,1314,200005,18,1314,1094973,5144865,MICHIGAN,2000,Hail,C,93,LIVINGSTON,DTX,18-MAY-00 13:14:00,EST,18-MAY-00 13:14:00,0,0,0,0,BROADCAST MEDIA,2000,5
31445,200005,12,115,200005,12,115,1095064,5144049,MICHIGAN,2000,Thunderstorm Wind,C,127,OCEANA,GRR,12-MAY-00 01:15:00,EST,12-MAY-00 01:15:00,0,0,0,0,NWS STORM SURVEY,2000,5
31456,200005,12,1630,200005,12,1643,1094972,5144527,MICHIGAN,2000,Hail,C,17,BAY,DTX,12-MAY-00 16:30:00,EST,12-MAY-00 16:43:00,0,0,0,0,TRAINED SPOTTER,2000,5
31474,200005,11,1646,200005,11,1646,1094971,5144523,MICHIGAN,2000,Hail,C,161,WASHTENAW,DTX,11-MAY-00 16:46:00,EST,11-MAY-00 16:46:00,0,0,0,0,TRAINED SPOTTER,2000,5
31484,200005,18,700,200005,20,1000,1095067,5144925,MICHIGAN,2000,Flash Flood,C,57,GRATIOT,GRR,18-MAY-00 07:00:00,EST,20-MAY-00 10:00:00,0,0,0,0,NWS STORM SURVEY,2000,5
31491,200005,8,1735,200005,8,1735,1095062,5145412,MICHIGAN,2000,Hail,C,85,LAKE,GRR,08-MAY-00 17:35:00,EST,08-MAY-00 17:35:00,0,0,0,0,NWS STORM SURVEY,2000,5
31498,200005,12,2112,200005,12,2112,1094972,5144853,MICHIGAN,2000,Thunderstorm Wind,C,125,OAKLAND,DTX,12-MAY-00 21:12:00,EST,12-MAY-00 21:12:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31514,200005,18,1455,200005,18,1455,1094973,5144868,MICHIGAN,2000,Hail,C,93,LIVINGSTON,DTX,18-MAY-00 14:55:00,EST,18-MAY-00 14:55:00,0,0,0,0,TRAINED SPOTTER,2000,5
31515,200005,18,1507,200005,18,1507,1094973,5144869,MICHIGAN,2000,Hail,C,125,OAKLAND,DTX,18-MAY-00 15:07:00,EST,18-MAY-00 15:07:00,0,0,0,0,TRAINED SPOTTER,2000,5
31516,200005,20,1130,200005,21,300,1094974,5144971,MICHIGAN,2000,Flood,Z,82,LENAWEE,DTX,20-MAY-00 11:30:00,EST,21-MAY-00 03:00:00,0,0,0,0,OFFICIAL NWS OBS.,2000,5
31532,200005,9,1900,200005,9,1900,1095063,5144044,MICHIGAN,2000,Thunderstorm Wind,C,65,INGHAM,GRR,09-MAY-00 19:00:00,EST,09-MAY-00 19:00:00,0,0,0,0,NWS STORM SURVEY,2000,5
