,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
2950,199304,24,1805,199304,24,1805,10328922,MICHIGAN,1993,Hail,C,7,ALPENA,24-APR-93 18:05:00,EST,24-APR-93 18:05:00,0,0,0,0,0,0,0.75,0.0,0,5,0,1993,4
3009,199308,27,2005,199308,27,2005,10329080,MICHIGAN,1993,Thunderstorm Wind,C,63,HURON,27-AUG-93 20:05:00,EST,27-AUG-93 20:05:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
3010,199309,9,1840,199309,9,1840,10329081,MICHIGAN,1993,Hail,C,63,HURON,09-SEP-93 18:40:00,EST,09-SEP-93 18:40:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1993,9
3011,199309,9,1859,199309,9,1859,10329082,MICHIGAN,1993,Hail,C,63,HURON,09-SEP-93 18:59:00,EST,09-SEP-93 18:59:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,9
3012,199304,15,1530,199304,15,1530,10329086,MICHIGAN,1993,Thunderstorm Wind,C,65,INGHAM,15-APR-93 15:30:00,EST,15-APR-93 15:30:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,4
3013,199308,30,1635,199308,30,1650,10329444,MICHIGAN,1993,Tornado,C,39,CRAWFORD,30-AUG-93 16:35:00,EST,30-AUG-93 16:50:00,0,0,0,0,50K,0,0.0,8.0,50,9,0,1993,8
3078,199308,15,1730,199308,15,1730,10331565,MICHIGAN,1993,Thunderstorm Wind,C,163,WAYNE,15-AUG-93 17:30:00,EST,15-AUG-93 17:30:00,0,0,0,0,50K,0,0.0,0.0,0,0,0,1993,8
3124,199308,27,1830,199308,27,1830,10329191,MICHIGAN,1993,Thunderstorm Wind,C,67,IONIA,27-AUG-93 18:30:00,EST,27-AUG-93 18:30:00,0,0,0,0,5K,5K,65.0,0.0,0,0,0,1993,8
3125,199304,24,1700,199304,24,1700,10329198,MICHIGAN,1993,Hail,C,137,OTSEGO,24-APR-93 17:00:00,EST,24-APR-93 17:00:00,0,0,0,0,0,0,2.0,0.0,0,0,0,1993,4
3126,199304,24,1855,199304,24,1855,10329195,MICHIGAN,1993,Thunderstorm Wind,C,69,IOSCO,24-APR-93 18:55:00,EST,24-APR-93 18:55:00,0,0,0,0,3,0,0.0,0.0,0,3,0,1993,4
3127,199304,24,1700,199304,24,1700,10329199,MICHIGAN,1993,Thunderstorm Wind,C,137,OTSEGO,24-APR-93 17:00:00,EST,24-APR-93 17:00:00,0,0,0,0,5K,0,0.0,0.0,0,8,0,1993,4
3128,199304,24,1705,199304,24,1705,10329200,MICHIGAN,1993,Hail,C,137,OTSEGO,24-APR-93 17:05:00,EST,24-APR-93 17:05:00,0,0,0,0,0,0,1.5,0.0,0,0,0,1993,4
